epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.984,1.23929,3.32457,1.38329,0.00396,0.68133,0.1327,0.08152,1.19282,4.22928,1.43485,0.000362776,0.000362776,0.000362776
2,121.809,1.26819,2.58701,1.33976,0.44779,0.2018,0.23831,0.13545,1.3962,3.81427,1.59185,0.000725851,0.000725851,0.000725851
3,179.453,1.2436,2.46069,1.37432,0.30536,0.47869,0.35725,0.23583,1.44007,3.53654,1.63672,0.00108159,0.00108159,0.00108159
4,248.047,1.24632,2.2754,1.34478,0.27927,0.46822,0.29292,0.17486,1.64483,3.7967,1.89347,0.001078,0.001078,0.001078
5,315.092,1.24325,2.06352,1.34435,0.36314,0.48878,0.35879,0.22437,1.3648,3.07979,1.52899,0.001067,0.001067,0.001067
6,399.415,1.22812,1.8823,1.31987,0.32024,0.49244,0.33728,0.21766,1.3332,3.08286,1.52483,0.00105601,0.00105601,0.00105601
7,484.36,1.19273,1.76819,1.29013,0.48233,0.50811,0.47408,0.32588,1.25185,2.85183,1.44748,0.00104501,0.00104501,0.00104501
8,584.29,1.14441,1.632,1.24526,0.48488,0.43174,0.40147,0.26962,1.18218,2.30768,1.42503,0.00103401,0.00103401,0.00103401
9,669.434,1.08489,1.49875,1.24002,0.47997,0.5709,0.51537,0.34157,1.25091,2.11477,1.44172,0.00102301,0.00102301,0.00102301
10,767.522,1.05644,1.38048,1.21564,0.36072,0.3434,0.32608,0.22595,1.32384,2.8965,1.53364,0.00101201,0.00101201,0.00101201
11,866.294,1.04506,1.34337,1.22229,0.40226,0.44014,0.34625,0.24814,1.22075,2.40434,1.42548,0.00100101,0.00100101,0.00100101
12,947.93,0.97898,1.27021,1.15682,0.49283,0.46611,0.4495,0.31611,1.18448,2.49674,1.42309,0.000990012,0.000990012,0.000990012
13,1024.38,0.98473,1.2168,1.18645,0.53028,0.54911,0.5245,0.37148,1.20782,1.96717,1.43665,0.000979013,0.000979013,0.000979013
14,1096.6,0.94428,1.10326,1.1443,0.53074,0.54976,0.54804,0.37767,1.2997,2.01831,1.47083,0.000968014,0.000968014,0.000968014
15,1162.9,0.93004,1.08875,1.14815,0.39908,0.60237,0.49587,0.38058,1.05147,1.82199,1.29288,0.000957015,0.000957015,0.000957015
16,1229.27,0.911,1.05661,1.13975,0.40992,0.56344,0.47194,0.32203,1.29919,1.9471,1.46625,0.000946016,0.000946016,0.000946016
17,1294.97,0.91897,1.0551,1.14308,0.55975,0.47989,0.56422,0.41536,1.11699,1.80011,1.37716,0.000935018,0.000935018,0.000935018
18,1361.01,0.88971,0.94414,1.11429,0.58999,0.58156,0.54124,0.40548,1.15085,1.77398,1.3956,0.000924019,0.000924019,0.000924019
19,1432.39,0.89169,0.99495,1.12177,0.6448,0.63744,0.66114,0.48109,1.10451,1.45396,1.32923,0.00091302,0.00091302,0.00091302
20,1503.65,0.86624,0.94469,1.10424,0.43512,0.495,0.52147,0.39352,1.00013,1.9989,1.23824,0.000902021,0.000902021,0.000902021
21,1572.09,0.8663,0.94708,1.11571,0.47115,0.55179,0.55959,0.41196,1.08619,1.72655,1.34746,0.000891022,0.000891022,0.000891022
22,1638.96,0.84328,0.87168,1.09217,0.60699,0.63238,0.60605,0.45399,1.03258,1.70283,1.27877,0.000880023,0.000880023,0.000880023
23,1708.49,0.85342,0.86382,1.10502,0.56838,0.60356,0.60179,0.46266,1.01407,1.68936,1.26709,0.000869024,0.000869024,0.000869024
24,1778.68,0.80988,0.83418,1.07451,0.56022,0.61275,0.58688,0.45245,0.95724,1.56034,1.23888,0.000858025,0.000858025,0.000858025
25,1848.32,0.81305,0.8291,1.06855,0.60849,0.61661,0.60624,0.45584,0.97655,1.53484,1.20497,0.000847026,0.000847026,0.000847026
26,1919.96,0.8156,0.82306,1.0655,0.68015,0.68516,0.67606,0.52435,0.9842,1.4101,1.26786,0.000836027,0.000836027,0.000836027
27,1991.1,0.78354,0.77955,1.05876,0.62665,0.64415,0.67561,0.50221,0.99735,1.44559,1.2714,0.000825029,0.000825029,0.000825029
28,2061.44,0.79982,0.7632,1.07123,0.79115,0.5965,0.69106,0.50992,1.06599,1.3295,1.28636,0.00081403,0.00081403,0.00081403
29,2129.66,0.77667,0.76354,1.06507,0.77948,0.59299,0.65685,0.47666,1.10103,1.40847,1.36456,0.000803031,0.000803031,0.000803031
30,2204.16,0.78025,0.78085,1.05595,0.75289,0.58625,0.66074,0.51102,1.03982,1.49369,1.32828,0.000792032,0.000792032,0.000792032
31,2277.06,0.75816,0.7398,1.0589,0.52351,0.55528,0.54632,0.40382,1.0523,1.59587,1.27811,0.000781033,0.000781033,0.000781033
32,2353.16,0.73784,0.69436,1.03688,0.59228,0.62617,0.63103,0.49902,0.94589,1.41852,1.21813,0.000770034,0.000770034,0.000770034
33,2425.83,0.73205,0.71152,1.0506,0.6406,0.58394,0.62029,0.48183,0.97551,1.44404,1.24188,0.000759035,0.000759035,0.000759035
34,2499.24,0.76174,0.71694,1.04448,0.5439,0.65534,0.64998,0.50411,0.92367,1.51564,1.22475,0.000748036,0.000748036,0.000748036
35,2567.67,0.72319,0.69127,1.03136,0.64931,0.6566,0.67227,0.5216,1.032,1.39243,1.3068,0.000737037,0.000737037,0.000737037
36,2637.39,0.70873,0.66412,1.02275,0.6581,0.56645,0.65021,0.49966,0.95635,1.35631,1.19923,0.000726038,0.000726038,0.000726038
37,2705.37,0.71512,0.64976,1.03517,0.62991,0.60459,0.63778,0.49098,1.00365,1.424,1.26692,0.00071504,0.00071504,0.00071504
38,2773.36,0.70056,0.65061,1.01623,0.55127,0.71579,0.64785,0.48946,1.02512,1.35949,1.28285,0.000704041,0.000704041,0.000704041
39,2843.4,0.68544,0.61672,1.01069,0.68114,0.7,0.67711,0.53822,0.92125,1.32846,1.25758,0.000693042,0.000693042,0.000693042
40,2913.34,0.67524,0.62647,1.00395,0.55326,0.57686,0.59825,0.47369,0.86755,1.60864,1.14926,0.000682043,0.000682043,0.000682043
41,2987.29,0.70045,0.61773,1.02398,0.61503,0.49492,0.60774,0.47208,0.98089,1.75173,1.2414,0.000671044,0.000671044,0.000671044
42,3058.91,0.68202,0.59415,1.0125,0.54889,0.54645,0.60398,0.47425,0.98488,1.57299,1.24817,0.000660045,0.000660045,0.000660045
43,3134.43,0.65753,0.60875,1.00323,0.74953,0.68207,0.74353,0.59261,0.95795,1.18402,1.2512,0.000649046,0.000649046,0.000649046
44,3207.8,0.68376,0.61076,1.01337,0.64744,0.68892,0.70693,0.54331,1.00717,1.39547,1.29134,0.000638047,0.000638047,0.000638047
45,3279.69,0.66545,0.60319,1.00784,0.61268,0.6287,0.66444,0.53224,0.87687,1.36186,1.18348,0.000627048,0.000627048,0.000627048
46,3357.11,0.66847,0.59285,1.00652,0.59642,0.55414,0.61696,0.47664,1.03766,1.44002,1.32796,0.000616049,0.000616049,0.000616049
47,3431.65,0.65287,0.56798,0.99223,0.51215,0.67512,0.66773,0.52437,0.9654,1.49332,1.26262,0.000605051,0.000605051,0.000605051
48,3511.36,0.63165,0.5621,0.99473,0.64313,0.67865,0.68233,0.53977,1.00225,1.33927,1.31956,0.000594052,0.000594052,0.000594052
49,3584.22,0.6389,0.57268,0.99691,0.56176,0.68302,0.61433,0.47676,1.03499,1.47172,1.31524,0.000583053,0.000583053,0.000583053
50,3656.16,0.63108,0.55659,0.99873,0.67683,0.63446,0.69764,0.49991,1.19108,1.26558,1.40003,0.000572054,0.000572054,0.000572054
51,3729.62,0.62995,0.54885,0.98301,0.65015,0.66754,0.69589,0.55411,0.97143,1.294,1.27318,0.000561055,0.000561055,0.000561055
52,3806.98,0.62807,0.52255,0.98261,0.63187,0.69001,0.69711,0.54546,0.9152,1.45952,1.21259,0.000550056,0.000550056,0.000550056
53,3879.45,0.60963,0.51991,0.97599,0.60988,0.69651,0.68007,0.53372,1.01694,1.39194,1.29688,0.000539057,0.000539057,0.000539057
54,3949.51,0.63203,0.53074,0.9965,0.66519,0.68249,0.671,0.53045,0.94718,1.30192,1.26857,0.000528058,0.000528058,0.000528058
55,4020.43,0.60834,0.50874,0.97861,0.74217,0.68813,0.7222,0.57805,0.86727,1.19674,1.17445,0.000517059,0.000517059,0.000517059
56,4097.95,0.61983,0.52243,0.99156,0.7576,0.67468,0.70949,0.57814,0.86214,1.21855,1.17609,0.00050606,0.00050606,0.00050606
57,4181.5,0.59201,0.49901,0.97004,0.64625,0.71129,0.68201,0.55228,0.90816,1.28544,1.21651,0.000495062,0.000495062,0.000495062
58,4268.66,0.60998,0.50538,0.9769,0.61632,0.66729,0.68674,0.55,0.92668,1.36579,1.23006,0.000484063,0.000484063,0.000484063
59,4356.95,0.61508,0.51203,0.9899,0.71946,0.67548,0.69072,0.54415,1.02309,1.35938,1.33073,0.000473064,0.000473064,0.000473064
60,4448.59,0.60003,0.49984,0.97186,0.73128,0.66487,0.69278,0.56515,0.91698,1.24266,1.27342,0.000462065,0.000462065,0.000462065
61,4535.85,0.60746,0.49444,0.98606,0.6329,0.66334,0.64281,0.5064,0.99441,1.35016,1.33245,0.000451066,0.000451066,0.000451066
62,4612.05,0.60506,0.50893,0.98246,0.60106,0.73322,0.67749,0.5522,0.92346,1.26865,1.27535,0.000440067,0.000440067,0.000440067
63,4678.28,0.57685,0.47573,0.97049,0.62997,0.66514,0.67591,0.55027,0.91427,1.22821,1.25811,0.000429068,0.000429068,0.000429068
